probabilidad,orig_pkts_flujo,orig_ip_bytes_flujo,resp_pkts_flujo,resp_ip_bytes_flujo,duracion,pps_flujo
0.976525,2602,1441508,0,0,0.805278,3231.183936
0.976525,2612,1447048,0,0,0.805753,3241.686321
0.976525,2622,1452588,0,0,0.890621,2944.013398
0.976525,2632,1458128,0,0,0.89063,2955.211457
0.976525,2642,1463668,0,0,0.890639,2966.409288
0.976525,2652,1469208,0,0,0.891333,2975.317848
0.976525,2662,1474748,0,0,0.891456,2986.125642
0.976525,2672,1480288,0,0,0.891916,2995.799289
0.976525,2682,1485828,0,0,0.895576,2994.721513
0.976525,2692,1491368,0,0,0.895648,3005.645066
0.976525,2702,1496908,0,0,0.896114,3015.240189
0.976525,2712,1502448,0,0,0.896124,3026.368077
0.976525,2722,1507988,0,0,0.896559,3036.053092
0.976525,2732,1513528,0,0,0.896568,3047.174437
0.976525,2742,1519068,0,0,0.907466,3021.601027
0.976525,2752,1524608,0,0,0.907585,3032.223193
0.976525,2762,1530148,0,0,0.908103,3041.503643
0.976525,2772,1535688,0,0,0.908115,3052.477136
0.976525,2782,1541228,0,0,0.908558,3061.994502
0.976525,2792,1546768,0,0,0.908567,3072.971116
0.976525,2802,1552308,0,0,0.908576,3083.945089
0.972691,2812,1557848,0,0,1.022358,2750.503103
0.972691,2822,1563388,0,0,1.022797,2759.101775
0.972691,2832,1568928,0,0,1.025762,2760.874136
0.972691,2842,1574468,0,0,1.025777,2770.582416
0.972691,2852,1580008,0,0,1.026224,2779.119333
0.972691,2862,1585548,0,0,1.026233,2788.839818
0.972691,2872,1591088,0,0,1.026658,2797.425404
0.972691,2882,1596628,0,0,1.026667,2807.142275
0.972691,2892,1602168,0,0,1.02753,2814.517141
0.972691,2902,1607708,0,0,1.036795,2799.010036
0.972691,2912,1613248,0,0,1.037283,2807.334958
0.972691,2922,1618788,0,0,1.03825,2814.351801
0.972691,2932,1624328,0,0,1.038618,2822.98184
0.972691,2942,1629868,0,0,1.039281,2830.804164
0.972691,2952,1635408,0,0,1.039906,2838.718698
0.972691,2962,1640948,0,0,1.040837,2845.786477
0.972691,2972,1646488,0,0,1.041899,2852.483876
0.972691,2982,1652028,0,0,1.042465,2860.52777
0.972691,2992,1657568,0,0,1.042828,2869.122358
0.972691,3002,1663108,0,0,1.043501,2876.852936
0.972691,3012,1668648,0,0,1.044154,2884.63084
0.972691,3022,1674188,0,0,1.047746,2884.286341
0.972691,3032,1679728,0,0,1.048318,2892.251753
0.972691,3042,1685268,0,0,1.048964,2900.00347
0.972691,3052,1690808,0,0,1.049677,2907.560718
0.972691,3062,1696348,0,0,1.050308,2915.334018
0.972336,3072,1701888,0,0,1.139835,2695.127208
0.972336,3082,1707428,0,0,1.139848,2703.868737
0.972336,3092,1712968,0,0,1.13986,2712.614033
0.972336,3102,1718508,0,0,1.140381,2720.144435
0.972336,3112,1724048,0,0,1.14039,2728.891757
0.972336,3122,1729588,0,0,1.142196,2733.330805
0.972336,3132,1735128,0,0,1.142262,2741.926758
0.972336,3142,1740668,0,0,1.142342,2750.488991
0.972336,3152,1746208,0,0,1.143458,2756.551584
0.972336,3162,1751748,0,0,1.143736,2764.624281
0.972336,3172,1757288,0,0,1.14501,2770.281496
0.972336,3182,1762828,0,0,1.145287,2778.342228
0.972336,3192,1768368,0,0,1.147127,2782.603477
0.972336,3202,1773908,0,0,1.148126,2788.892783
0.972336,3212,1779448,0,0,1.148749,2796.084277
0.972336,3222,1784988,0,0,1.149734,2802.387867
0.972336,3232,1790528,0,0,1.152626,2804.032905
0.972336,3242,1796068,0,0,1.153289,2811.091102
0.972336,3252,1801608,0,0,1.153984,2818.063747
0.972336,3262,1807148,0,0,1.154612,2825.192502
0.972336,3272,1812688,0,0,1.155671,2831.256483
0.972336,3282,1818228,0,0,1.155983,2839.142169
0.972336,3292,1823768,0,0,1.158303,2842.088174
0.972336,3302,1829308,0,0,1.158995,2849.019098
0.972336,3312,1834848,0,0,1.159635,2856.072101
0.972336,3322,1840388,0,0,1.16065,2862.19043
0.972336,3332,1845928,0,0,1.161979,2867.520624
0.972336,3342,1851468,0,0,1.16263,2874.518237
0.972336,3352,1857008,0,0,1.163351,2881.332637
0.972336,3362,1862548,0,0,1.163999,2888.319616
0.972336,3372,1868088,0,0,1.253792,2689.440698
0.972336,3382,1873628,0,0,1.253804,2697.391367
0.972336,3392,1879168,0,0,1.253814,2705.346518
0.972336,3402,1884708,0,0,1.254258,2712.360278
0.972336,3412,1890248,0,0,1.266557,2693.918
0.972336,3422,1895788,0,0,1.267592,2699.606405
0.972336,3432,1901328,0,0,1.268028,2706.565304
0.972336,3442,1906868,0,0,1.268776,2712.850429
0.972336,3452,1912408,0,0,1.269515,2719.149592
0.972336,3462,1917948,0,0,1.270109,2725.750442
0.972336,3472,1923488,0,0,1.271501,2730.630313
0.972336,3482,1929028,0,0,1.271905,2737.625962
0.972336,3492,1934568,0,0,1.273586,2741.864749
0.972336,3502,1940108,0,0,1.274014,2748.793437
0.972336,3512,1945648,0,0,1.274853,2754.827439
0.972336,3522,1951188,0,0,1.27538,2761.529606
0.972336,3532,1956728,0,0,1.277236,2765.345937
0.972336,3542,1962268,0,0,1.280584,2765.924822
0.972336,3552,1967808,0,0,1.281041,2772.744148
0.972336,3562,1973348,0,0,1.28105,2780.530632
0.972336,3572,1978888,0,0,1.282478,2785.233276
0.972336,3582,1984428,0,0,1.282487,2793.010432
0.972336,3592,1989968,0,0,1.282831,2800.056122
0.972336,3602,1995508,0,0,1.284898,2803.336309
0.972336,3612,2001048,0,0,1.284945,2811.016276
0.972336,3622,2006588,0,0,1.286107,2816.250242
0.972336,3632,2012128,0,0,1.286204,2823.813634
0.972336,3642,2017668,0,0,1.287435,2828.880561
0.972336,3652,2023208,0,0,1.287911,2835.599801
0.972336,3662,2028748,0,0,1.289838,2839.116588
0.972336,3672,2034288,0,0,1.29416,2837.362452
0.972336,3682,2039828,0,0,1.29425,2844.88979
0.972336,3692,2045368,0,0,1.295412,2850.059423
0.972336,3702,2050908,0,0,1.295852,2856.807316
0.972336,3712,2056448,0,0,1.296684,2862.687136
0.972336,3722,2061988,0,0,1.298227,2866.986367
0.972336,3732,2067528,0,0,1.300084,2870.584548
0.972336,3742,2073068,0,0,1.301311,2875.560556
0.972336,3752,2078608,0,0,1.403301,2673.695806
0.972336,3762,2084148,0,0,1.403311,2680.803642
0.972336,3772,2089688,0,0,1.40375,2687.088266
0.972336,3782,2095228,0,0,1.403768,2694.17818
0.972336,3792,2100768,0,0,1.40448,2699.931685
0.972336,3802,2106308,0,0,1.405136,2705.78816
0.972336,3812,2111848,0,0,1.406085,2711.074547
0.972336,3822,2117388,0,0,1.406606,2717.178877
0.972336,3832,2122928,0,0,1.407631,2722.304508
