probabilidad,orig_pkts_flujo,orig_ip_bytes_flujo,resp_pkts_flujo,resp_ip_bytes_flujo,duracion,pps_flujo
0.717846,2900,1606600,0,0,1.077081,2692.461208
0.717846,2910,1612140,0,0,1.077737,2700.101328
0.717846,2920,1617680,0,0,1.078409,2707.692645
0.715148,2930,1623220,0,0,1.079962,2713.058384
0.715148,2940,1628760,0,0,1.081347,2718.832463
0.715148,2950,1634300,0,0,1.081603,2727.433137
0.715148,2960,1639840,0,0,1.082268,2734.99785
0.715148,2970,1645380,0,0,1.18165,2513.434767
0.715148,2980,1650920,0,0,1.181663,2521.870542
0.715148,2990,1656460,0,0,1.182255,2529.066175
0.715148,3000,1662000,0,0,1.182352,2537.315311
0.715148,3010,1667540,0,0,1.183357,2543.612124
0.715148,3020,1673080,0,0,1.184017,2550.638149
0.715148,3030,1678620,0,0,1.184674,2557.665085
0.715148,3040,1684160,0,0,1.185641,2564.014303
0.715148,3050,1689700,0,0,1.186012,2571.64391
0.715148,3060,1695240,0,0,1.186627,2578.737042
0.715148,3070,1700780,0,0,1.187299,2585.701832
0.715148,3080,1706320,0,0,1.188207,2592.140085
0.715148,3090,1711860,0,0,1.189184,2598.421059
0.715148,3100,1717400,0,0,1.189546,2606.035493
0.715148,3110,1722940,0,0,1.1902,2613.005496
0.715148,3120,1728480,0,0,1.19088,2619.912243
0.715148,3130,1734020,0,0,1.191535,2626.864202
0.715148,3140,1739560,0,0,1.196454,2624.421205
0.715148,3150,1745100,0,0,1.197349,2630.811221
0.715148,3160,1750640,0,0,1.198014,2637.698154
0.715148,3170,1756180,0,0,1.198929,2644.026829
0.715148,3180,1761720,0,0,1.199597,2650.890518
0.715148,3190,1767260,0,0,1.200552,2657.111619
0.715148,3200,1772800,0,0,1.200924,2664.614562
0.715148,3210,1778340,0,0,1.201588,2671.46548
0.715148,3220,1783880,0,0,1.20231,2678.178182
0.715148,3230,1789420,0,0,1.203282,2684.325839
0.715148,3240,1794960,0,0,1.309538,2474.15567
0.715148,3250,1800500,0,0,1.309551,2481.767102
0.715148,3260,1806040,0,0,1.309564,2489.378381
0.715148,3270,1811580,0,0,1.310648,2494.949585
0.715148,3280,1817120,0,0,1.311666,2500.636118
0.715148,3290,1822660,0,0,1.315746,2500.482485
0.715148,3300,1828200,0,0,1.316389,2506.858524
0.715148,3310,1833740,0,0,1.318339,2510.734437
0.715148,3320,1839280,0,0,1.319118,2516.832719
0.715148,3330,1844820,0,0,1.319954,2522.815801
0.715148,3340,1850360,0,0,1.321329,2527.757358
0.715148,3350,1855900,0,0,1.321942,2534.149883
0.715148,3360,1861440,0,0,1.322721,2540.217765
0.715148,3370,1866980,0,0,1.323555,2546.17301
0.715148,3380,1872520,0,0,1.324458,2551.987527
0.715148,3390,1878060,0,0,1.325533,2557.462418
0.715148,3400,1883600,0,0,1.327834,2560.560325
0.715148,3410,1889140,0,0,1.328945,2565.944398
0.715148,3420,1894680,0,0,1.330077,2571.279377
0.715148,3430,1900220,0,0,1.330857,2577.286129
0.715148,3440,1905760,0,0,1.331992,2582.597804
0.715148,3450,1911300,0,0,1.332907,2588.32723
0.715148,3460,1916840,0,0,1.333716,2594.254685
0.715148,3470,1922380,0,0,1.338468,2592.516999
0.715148,3480,1927920,0,0,1.338614,2599.704361
0.715148,3490,1933460,0,0,1.339248,2605.940627
0.715148,3500,1939000,0,0,1.33926,2613.383313
0.715148,3510,1944540,0,0,1.339272,2620.826794
0.715148,3520,1950080,0,0,1.384477,2542.475636
0.715148,3530,1955620,0,0,1.38449,2549.674868
0.715148,3540,1961160,0,0,1.385119,2555.73672
0.715148,3550,1966700,0,0,1.385174,2562.855735
0.715148,3560,1972240,0,0,1.385954,2568.627998
0.715148,3570,1977780,0,0,1.387086,2573.740195
0.715148,3580,1983320,0,0,1.39176,2572.282373
0.715148,3590,1988860,0,0,1.392375,2578.32841
0.715148,3600,1994400,0,0,1.392387,2585.487362
0.715148,3610,1999940,0,0,1.39391,2589.837348
0.715148,3620,2005480,0,0,1.394735,2595.475388
0.715148,3630,2011020,0,0,1.401646,2589.812891
0.715148,3640,2016560,0,0,1.402246,2595.835982
0.715148,3650,2022100,0,0,1.402258,2602.944386
0.715148,3660,2027640,0,0,1.40227,2610.053108
0.715148,3670,2033180,0,0,1.402869,2616.067083
0.715148,3680,2038720,0,0,1.403752,2621.545521
0.715148,3690,2044260,0,0,1.408044,2620.656555
0.715148,3700,2049800,0,0,1.408056,2627.735913
0.715148,3710,2055340,0,0,1.408068,2634.815149
0.715148,3720,2060880,0,0,1.409372,2639.473743
0.715148,3730,2066420,0,0,1.412089,2641.477251
0.715148,3740,2071960,0,0,1.497492,2497.509044
0.715148,3750,2077500,0,0,1.497505,2504.164549
0.715148,3760,2083040,0,0,1.497518,2510.820734
